TOPIC-id,SDG,TOPIC,Keywords,ER
SDGt177,17,SDG 17,"International cooperation, Translational cooperation, Multilateral agreements, Cross-border cooperation, International agreements, Multilingual, Multicultural, Knowledge sharing, Public–private partnership, Strategic partnership, Foreign Aid, Financial assistance (share purchase), Funding of science, Development Cooperation, Capacity Building, Community capacity building,Technology Transfer, Knowledge transfer, Transfer of learning, Stakeholder engagement, Stakeholder engagement software, Stakeholder management, Commercial policy, Common commercial policy, Common Commercial Policy (EU), Free trade agreement, Global Partnerships, International development, International Partnership for Human Rights, Policy coherence for development, Global governance, Resource mobilization, Mass mobilization, Social movement organization, Partnerships for Goals, Multilateralism, Multilateral treaty, Sustainable Development Goal 17",807418e1-2097-4eed-85e5-63ab530369fa
SDGt178,17,Global Cooperation,"International cooperation, Translational cooperation, Multilateral agreements, International agreements, Multilingual, Multicultural, Knowledge sharing, Public–private partnership, Strategic partnership",
SDGt180,17,Capacity Building,"Development Cooperation, Capacity Building, Community capacity building",
SDGt181,17,Knowledge Transfer,"Technology Transfer, Knowledge transfer, Transfer of learning",
SDGt182,17,Stakeholder Engagement,"Stakeholder engagement, Stakeholder engagement software, Stakeholder management",
SDGt183,17,Trade Policies,"Commercial policy, Common commercial policy, Common Commercial Policy (EU), Free trade agreement",
SDGt184,17,International Partnerships,"Global Partnerships, International development, International Partnership for Human Rights",
SDGt185,17,Policy Coherence,"Policy coherence for development, Global governance,International law",
SDGt186,17,Resource Mobilization,"Resource mobilization, Mass mobilization, Social movement organization",
SDGt187,17,Multilateral Agreements,"Partnerships for Goals, Multilateralism, Multilateral treaty",









